198.44 -39.13 -20.06
213.44 -54.81 -7.19
222.56 -59.19 70.81
236.31 -21.62 129.94
263.94 13.31 123.87
352.81 19.06 139.00
129.81 5.19 92.62
94.12 -8.06 48.75
79.87 -23.62 38.88
72.56 -31.75 40.25
78.50 -28.37 40.31
91.62 -17.31 36.75
106.62 -3.62 28.25
115.56 10.50 30.37
114.81 21.31 25.81
110.81 22.37 24.75
108.19 22.00 28.37
105.87 20.69 30.25
104.25 19.56 31.50
105.19 18.31 32.31
107.56 17.25 33.00
109.69 16.56 33.81
198.44 -39.13 -20.06
213.44 -54.81 -7.19
222.56 -59.19 70.81
236.31 -21.62 129.94
263.94 13.31 123.87
352.81 19.06 139.00
129.81 5.19 92.62
94.12 -8.06 48.75
79.87 -23.62 38.88
72.56 -31.75 40.25
78.50 -28.37 40.31
91.62 -17.31 36.75
106.62 -3.62 28.25
115.56 10.50 30.37
114.81 21.31 25.81
110.81 22.37 24.75
108.19 22.00 28.37
105.87 20.69 30.25
104.25 19.56 31.50
105.19 18.31 32.31
107.56 17.25 33.00
109.69 16.56 33.81
