61.63 82.94 -136.25
59.69 83.56 -175.25
56.69 85.00 -177.06
55.56 85.69 -177.81
57.50 86.00 -177.50
59.44 85.56 -177.00
62.25 88.31 -179.56
71.44 80.50 64.56
66.94 64.12 73.69
56.44 42.88 85.00
44.56 20.69 92.19
35.81 2.56 97.87
40.63 -6.00 107.94
62.94 0.81 117.94
98.81 19.19 127.75
139.00 40.56 139.81
148.00 70.50 136.81
104.75 78.50 -167.12
36.06 62.06 133.94
358.50 36.88 137.25
338.31 26.37 138.44
348.25 29.12 141.06
6.00 35.75 143.69
25.56 45.88 144.31
43.06 59.50 142.12
62.69 71.87 148.56
