101.75 	10.00 	24.00
101.62 	10.00 	24.12
101.50 	9.88 	24.06
101.81 	9.94 	23.81
101.81 	10.06 	23.94
101.81 	10.38 	24.00
102.06 	10.50 	23.75
102.00 	11.69 	23.56
102.50 	14.56 	22.56
103.19 	19.81 	21.37
103.94 	27.00 	19.87
104.19 	34.88 	19.12
104.19 	43.31 	17.75
105.37 	51.56 	14.69
106.75 	59.38 	11.44
108.31 	66.56 	7.62
109.37 	74.25 	1.81
108.50 	79.56 	-2.94
107.37 	80.25 	-3.75
105.50 	78.56 	4.56
104.62 	77.50 	6.69
103.94 	77.56 	8.31
103.87 	77.25 	8.75
103.37 	76.94 	7.44
102.81 	76.87 	7.62
102.62 	76.81 	7.50
102.50 	76.56 	7.62
102.50 	76.56 	7.56
102.25 	76.56 	8.94
102.25 	76.62 	9.38
102.06 	76.75 	10.50
101.81 	76.75 	11.38
101.50 	76.69 	12.75
101.31 	76.62 	13.00
101.50 	76.69 	12.44
101.75 	76.75 	12.63
101.75 	76.62 	12.56
101.69 	76.62 	12.81
101.37 	76.69 	13.50
100.62 	76.94 	16.56
98.50 	75.62 	28.19
93.12 	69.75 	48.44
82.75 	56.81 	60.75
71.37 	42.88 	62.38
61.06 	27.19 	58.25
53.44 	11.50 	53.13
49.63 	-1.62 	49.94
47.50 	-12.44 	47.81
45.56 	-22.19 	47.31
43.88 	-29.25 	48.50
42.69 	-35.00 	50.56
42.56 	-39.38 	53.69
43.63 	-42.25 	56.88
45.38 	-44.13 	60.06
47.31 	-44.56 	62.31
48.31 	-45.44 	63.81
49.19 	-45.44 	65.12
49.63 	-45.13 	65.50
50.31 	-44.88 	65.06
50.75 	-44.63 	64.25
50.63 	-44.50 	63.69
50.63 	-44.19 	63.13
50.94 	-44.06 	62.63
50.56 	-43.94 	62.38
50.94 	-43.94 	62.69
51.19 	-44.25 	62.69
51.50 	-44.13 	62.75
51.75 	-43.94 	62.75
52.00 	-43.63 	62.88
52.00 	-43.38 	62.69
51.63 	-43.13 	62.38
51.63 	-42.88 	62.31
51.44 	-42.88 	62.31
51.88 	-42.63 	62.50
51.69 	-42.63 	62.50
51.81 	-42.56 	62.38
51.50 	-42.69 	62.31
51.44 	-42.63 	62.19
50.69 	-42.38 	61.63
50.56 	-42.00 	61.13
50.44 	-41.94 	60.94
50.31 	-41.94 	60.81
50.31 	-41.94 	60.63
50.19 	-41.81 	60.50
50.44 	-41.50 	60.56
50.75 	-41.31 	60.50
50.69 	-41.25 	60.25
50.31 	-41.19 	60.00
50.25 	-41.19 	60.56
50.38 	-40.94 	61.06
50.94 	-41.13 	61.50
51.19 	-41.19 	61.81
51.38 	-41.00 	61.56
50.94 	-40.75 	61.06
50.38 	-40.50 	60.13
49.44 	-39.50 	58.44
48.56 	-37.25 	55.75
48.31 	-33.00 	52.44
49.19 	-26.12 	48.88
49.19 	-15.56 	47.13
49.94 	-1.69 	47.38
51.69 	10.69 	49.50
54.19 	21.81 	52.56
57.13 	31.12 	54.69
60.38 	38.50 	56.13
63.38 	43.94 	56.88
66.75 	48.25 	56.88
70.12 	52.44 	56.38
73.37 	56.81 	55.50
77.25 	62.06 	52.19
81.25 	68.25 	45.13
84.12 	72.06 	39.69
87.37 	74.69 	32.00
90.87 	76.00 	23.31
92.75 	76.44 	14.06
93.44 	76.81 	9.25
94.19 	76.87 	5.81
94.81 	75.94 	4.81
95.06 	76.19 	3.37
95.44 	76.31 	3.81
95.37 	76.25 	5.37
95.69 	76.25 	5.50
95.56 	76.06 	6.62
95.44 	76.12 	8.63
95.37 	75.75 	8.00
95.19 	75.56 	8.94
95.12 	75.44 	8.44
95.00 	75.44 	8.88
94.81 	75.44 	8.94
95.19 	75.44 	8.38
95.37 	75.44 	7.81
95.44 	75.50 	6.81
95.56 	75.37 	7.06
95.75 	75.37 	6.56
95.75 	75.44 	6.69
95.75 	75.37 	5.94
95.94 	75.50 	5.87
95.94 	75.56 	5.75
95.87 	75.62 	6.25
95.94 	75.69 	5.50
96.69 	75.75 	3.44
97.62 	76.06 	1.69
99.06 	75.87 	-3.06
101.69 	74.12 	-13.81
105.12 	70.81 	-27.31
109.81 	67.37 	-40.31
116.31 	63.88 	-49.56
123.06 	60.00 	-53.75
129.00 	56.25 	-55.19
133.69 	53.44 	-55.19
137.06 	50.69 	-53.88
139.19 	48.44 	-53.06
140.19 	47.19 	-53.31
140.12 	47.31 	-53.38
139.00 	48.38 	-53.00
138.19 	48.81 	-52.38
137.37 	49.38 	-52.06
136.50 	49.94 	-52.00
136.12 	50.50 	-52.69
135.81 	51.31 	-53.75
135.25 	52.00 	-53.19
133.25 	53.88 	-51.13
129.50 	58.31 	-46.63
124.31 	64.19 	-40.19
118.69 	69.62 	-30.81
113.94 	73.25 	-21.75
109.19 	75.19 	-13.13
106.75 	75.81 	-6.75
106.12 	75.94 	-4.44
106.12 	75.37 	-4.62
106.56 	75.00 	-6.62
106.12 	75.00 	-5.06
104.31 	75.37 	1.87
101.81 	75.87 	11.88
99.75 	75.37 	15.00
99.87 	75.12 	11.31
100.50 	74.87 	10.25
100.06 	73.94 	16.62
98.06 	72.87 	24.12
96.19 	72.19 	27.06
95.94 	72.62 	25.12
97.00 	73.62 	22.12
101.06 	75.25 	13.75
107.94 	76.25 	-0.06
118.62 	76.56 	-13.44
129.94 	75.75 	-19.50
141.56 	74.44 	-24.56
152.81 	74.00 	-25.44
162.69 	72.94 	-19.00
170.12 	69.50 	-10.69
177.25 	65.75 	-7.37
183.94 	63.94 	-3.25
189.44 	62.56 	6.12
193.56 	59.94 	9.94
197.06 	57.13 	12.31
197.56 	54.69 	15.06
194.81 	52.06 	16.75
188.31 	49.00 	19.00
179.31 	46.50 	20.31
168.31 	44.25 	20.31
154.94 	42.69 	20.50
142.19 	41.13 	19.87
128.44 	39.38 	17.44
115.12 	38.19 	16.12
103.19 	37.31 	14.69
92.31 	37.00 	13.63
81.94 	36.69 	13.13
70.69 	36.75 	14.25
60.19 	37.00 	17.00
49.31 	37.19 	21.31
39.19 	38.31 	27.00
30.00 	40.63 	34.19
22.94 	44.88 	42.75
15.69 	48.19 	51.25
6.75 	49.38 	58.94
358.19 	49.44 	63.25
349.62 	49.38 	67.12
341.12 	48.56 	68.81
333.81 	48.38 	70.31
329.56 	49.56 	71.00
326.44 	50.69 	71.87
324.44 	51.00 	73.06
323.44 	51.13 	73.44
323.44 	50.81 	73.50
324.81 	50.69 	72.94
327.69 	50.44 	71.94
333.62 	50.31 	68.00
344.12 	50.25 	60.38
357.12 	48.56 	48.13
9.06 	44.88 	35.63
21.75 	42.06 	24.31
32.50 	40.44 	16.50
43.06 	40.69 	11.94
55.69 	39.13 	9.50
68.44 	36.19 	7.44
81.81 	34.56 	6.81
95.06 	34.63 	6.37
108.81 	34.63 	6.06
121.56 	33.81 	8.06
133.81 	32.19 	11.38
147.06 	30.69 	14.25
160.69 	30.75 	16.62
174.62 	32.44 	19.12
185.62 	34.44 	20.37
195.37 	36.63 	21.25
203.56 	38.63 	22.00
209.87 	40.94 	20.56
213.56 	42.44 	19.37
212.06 	42.56 	20.06
208.12 	41.50 	19.94
203.56 	40.56 	20.00
198.06 	40.06 	20.56
192.94 	39.25 	20.31
187.50 	37.88 	19.81
180.94 	36.44 	19.62
171.44 	34.38 	19.62
161.25 	32.38 	19.62
148.56 	30.37 	20.12
134.87 	28.81 	20.37
120.94 	27.69 	20.06
108.44 	27.37 	19.19
98.06 	28.94 	20.06
88.87 	31.44 	20.37
