-0.07, 0.11, -0.98
-0.06, 0.16, -0.99
-0.10, 0.20, -0.97
-0.17, 0.21, -0.96
-0.28, 0.18, -0.94
-0.43, 0.14, -0.84
-0.56, 0.07, -0.66
-0.55, 0.01, -0.50
-0.55, -0.03, -0.38
-0.54, -0.05, -0.34
-0.53, -0.06, -0.35
-0.54, -0.08, -0.38
-0.57, -0.13, -0.43
-0.58, -0.16, -0.50
-0.57, -0.17, -0.59
-0.57, -0.14, -0.65
-0.55, -0.11, -0.68
-0.53, -0.11, -0.70
-0.52, -0.14, -0.70
-0.51, -0.15, -0.70
-0.49, -0.16, -0.70
-0.48, -0.17, -0.70
-0.48, -0.18, -0.70
-0.47, -0.18, -0.70
-0.47, -0.19, -0.70
-0.47, -0.19, -0.70
-0.47, -0.20, -0.70
-0.47, -0.21, -0.69
-0.47, -0.21, -0.69
-0.48, -0.21, -0.69
