0.00 	0.00 	0.00
	355.69 	77.31 	9.81
	355.69 	77.25 	10.06
	355.56 	77.19 	10.81
	355.50 	77.12 	11.63
	355.25 	77.06 	12.56
	354.75 	76.94 	13.25
	354.31 	76.94 	14.06
	354.37 	77.06 	15.44
	354.19 	77.12 	15.94
	353.87 	77.12 	16.31
	353.56 	77.06 	16.50
	353.31 	77.06 	16.31
	353.37 	77.00 	16.25
	353.56 	77.00 	16.50
	353.87 	77.00 	16.62
	354.19 	76.94 	16.31
	354.19 	76.94 	16.12
	354.12 	76.87 	15.88
	354.25 	76.69 	15.75
	354.44 	76.62 	15.81
	354.75 	76.62 	15.88
	354.87 	76.50 	16.25
	354.94 	76.37 	17.06
	354.81 	76.31 	17.69
	354.69 	76.25 	18.19
	354.56 	76.25 	18.25
	354.56 	76.31 	18.31
	354.62 	76.37 	18.25
	354.62 	76.44 	18.12
	354.62 	76.50 	18.19
	354.62 	76.50 	18.19
	354.50 	76.50 	18.25
	354.37 	76.44 	18.75
	354.31 	76.37 	19.37
	354.25 	76.31 	19.69
	354.25 	76.25 	20.25
	354.25 	76.25 	20.87
	354.19 	76.44 	21.75
	354.06 	76.50 	22.94
	353.94 	76.31 	24.25
	353.25 	76.06 	25.44
	352.87 	76.06 	25.56
	352.75 	76.00 	25.62
	352.81 	75.87 	25.50
	352.87 	75.81 	25.37
	352.75 	75.94 	25.12
	352.56 	76.19 	24.81
	352.25 	76.44 	24.87
	352.12 	76.56 	25.56
	352.12 	76.56 	26.06
	352.06 	76.56 	26.31
	352.00 	76.50 	26.25
	351.94 	76.50 	26.06
	352.00 	76.56 	25.62
	352.12 	76.62 	25.19
	352.25 	76.62 	25.00
	352.25 	76.62 	25.00
	352.25 	76.62 	25.00
	352.25 	76.62 	25.00
	352.25 	76.62 	24.94
	352.12 	76.62 	24.62
	351.87 	76.62 	24.75
	352.00 	76.56 	25.12
	352.25 	76.62 	25.19
	352.56 	76.62 	25.19
	352.69 	76.62 	25.06
	352.62 	76.62 	24.87
	352.50 	76.69 	24.75
	352.56 	76.69 	24.69
	352.62 	76.69 	24.75
	352.87 	76.62 	25.00
	353.06 	76.56 	25.12
	353.25 	76.50 	25.12
	353.44 	76.37 	25.31
	353.62 	76.37 	25.56
	353.62 	76.37 	25.50
	353.44 	76.37 	25.56
	353.44 	76.44 	25.81
	354.00 	76.44 	26.06
	354.00 	76.31 	26.62
	353.81 	76.19 	27.50
	353.37 	76.00 	28.75
	353.00 	76.06 	30.06
	353.00 	76.12 	31.06
	353.62 	76.06 	32.38
	354.31 	76.12 	32.94
	354.81 	76.06 	33.38
	354.94 	76.06 	34.00
	354.94 	76.00 	34.44
	355.12 	76.00 	35.19
	355.25 	76.06 	35.63
	355.56 	76.12 	35.88
	355.75 	76.25 	35.94
	356.00 	76.44 	36.06
	356.12 	76.56 	36.00
	355.87 	76.56 	34.75
	355.31 	76.56 	32.44
	355.19 	76.56 	30.12
	355.37 	76.56 	28.75
	356.87 	76.56 	27.06
	357.31 	76.44 	26.00
	356.81 	76.37 	25.87
	356.00 	75.94 	26.81
	357.12 	75.69 	25.37
	357.25 	75.94 	23.37
	357.19 	75.94 	22.50
	356.12 	75.50 	23.81
	355.75 	75.25 	24.00
	356.06 	75.19 	23.69
	356.25 	75.25 	23.19
	356.44 	75.25 	23.50
	356.62 	75.31 	23.62
	356.75 	75.50 	23.06
	356.94 	75.69 	22.87
	357.06 	75.81 	22.44
	357.06 	75.81 	22.06
